case	variant	cols_per_block	model	prompt_md5	binary_md5	run	exit_code	status	decode_tok_s	decode_tokens	output_hash	token_hash	unique_token_ratio	max_token_freq	max_token_run	log
qwen35	default	default	mlx-community/Qwen3.5-0.8B-MLX-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	128.81	56	992eefdcb4e29cfe	b7eb276d3d485aa0	0.59	0.14	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen35_default_run1.log
qwen35	16	16	mlx-community/Qwen3.5-0.8B-MLX-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	114.55	56	992eefdcb4e29cfe	b7eb276d3d485aa0	0.59	0.14	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen35_16_run1.log
qwen35	32	32	mlx-community/Qwen3.5-0.8B-MLX-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	123.80	56	992eefdcb4e29cfe	b7eb276d3d485aa0	0.59	0.14	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen35_32_run1.log
qwen35	64	64	mlx-community/Qwen3.5-0.8B-MLX-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	126.06	56	992eefdcb4e29cfe	b7eb276d3d485aa0	0.59	0.14	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen35_64_run1.log
qwen3	default	default	mlx-community/Qwen3-0.6B-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	157.06	128	87ef49230b710eba	957b23c26264b398	0.28	0.09	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen3_default_run1.log
qwen3	16	16	mlx-community/Qwen3-0.6B-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	147.09	128	87ef49230b710eba	957b23c26264b398	0.28	0.09	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen3_16_run1.log
qwen3	32	32	mlx-community/Qwen3-0.6B-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	151.38	128	87ef49230b710eba	957b23c26264b398	0.28	0.09	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen3_32_run1.log
qwen3	64	64	mlx-community/Qwen3-0.6B-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	1	0	ok	154.04	128	87ef49230b710eba	957b23c26264b398	0.28	0.09	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen3_64_run1.log
qwen35	16	16	mlx-community/Qwen3.5-0.8B-MLX-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	2	0	ok	118.01	56	992eefdcb4e29cfe	b7eb276d3d485aa0	0.59	0.14	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen35_16_run2.log
qwen35	32	32	mlx-community/Qwen3.5-0.8B-MLX-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	2	0	ok	121.94	56	992eefdcb4e29cfe	b7eb276d3d485aa0	0.59	0.14	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen35_32_run2.log
qwen35	64	64	mlx-community/Qwen3.5-0.8B-MLX-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	2	0	ok	128.12	56	992eefdcb4e29cfe	b7eb276d3d485aa0	0.59	0.14	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen35_64_run2.log
qwen35	default	default	mlx-community/Qwen3.5-0.8B-MLX-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	2	0	ok	126.99	56	992eefdcb4e29cfe	b7eb276d3d485aa0	0.59	0.14	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen35_default_run2.log
qwen3	16	16	mlx-community/Qwen3-0.6B-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	2	0	ok	147.27	128	87ef49230b710eba	957b23c26264b398	0.28	0.09	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen3_16_run2.log
qwen3	32	32	mlx-community/Qwen3-0.6B-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	2	0	ok	151.02	128	87ef49230b710eba	957b23c26264b398	0.28	0.09	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen3_32_run2.log
qwen3	64	64	mlx-community/Qwen3-0.6B-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	2	0	ok	154.28	128	87ef49230b710eba	957b23c26264b398	0.28	0.09	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen3_64_run2.log
qwen3	default	default	mlx-community/Qwen3-0.6B-4bit	6a9046339c4d28146b2e7cc66eb1f691	1ea3b388e333ff017a7687d73a0c3e26	2	0	ok	152.84	128	87ef49230b710eba	957b23c26264b398	0.28	0.09	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/qmv_cols_gfx1151_20260429T194222Z/qwen3_default_run2.log
