case	model	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.embed_tokens.weight	5	6.497670	1299.534	[1x1x1024]	[248320x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.embed_tokens.weight	5	4.100080	820.016	[1x1x1024]	[151936x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	embedding_quantized	decode	model.embed_tokens.weight	4	0.458585	114.646	[1x1]	[248320x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.0.linear_attn.in_proj_qkv_z_ba.weight	4	0.397398	99.349	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.0.linear_attn.out_proj.weight	4	0.531365	132.841	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.0.mlp.down_proj.weight	4	0.278362	69.591	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.0.mlp.gate_up_proj.weight	4	0.366409	91.602	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.1.linear_attn.in_proj_qkv_z_ba.weight	4	0.397818	99.454	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.1.linear_attn.out_proj.weight	4	0.468068	117.017	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.1.mlp.down_proj.weight	4	0.274632	68.658	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.1.mlp.gate_up_proj.weight	4	0.343730	85.932	[1x1x1024]	[7168x128]	1
