case	model	table	phase	family	calls	total_ms	avg_us
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	attention_output_projection	112	9.457561	84.443
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	mlp_gate_up_projection	112	9.234737	82.453
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	prefill	attention_output_projection	28	8.615472	307.695
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	gdn_output_projection	72	8.556172	118.836
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	prefill	attention_input_projection	28	8.532967	304.749
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	mlp_gate_up_projection	96	8.276653	86.215
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	attention_input_projection	112	7.930441	70.808
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	mlp_down_projection	112	7.342975	65.562
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	gdn_input_projection	72	7.175948	99.666
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	mlp_down_projection	24	6.871598	286.317
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	prefill	mlp_gate_up_projection	28	6.842903	244.389
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	gdn_input_projection	18	6.719560	373.309
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	mlp_down_projection	96	6.628403	69.046
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	mlp_gate_up_projection	24	6.534342	272.264
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	lm_head_tied_embedding	5	6.497670	1299.534
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	gdn_output_projection	18	6.447403	358.189
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	prefill	mlp_down_projection	28	6.247009	223.107
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	lm_head_tied_embedding	5	4.100080	820.016
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	attention_output_projection	24	2.371410	98.809
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	attention_input_projection	24	1.795649	74.819
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	attention_output_projection	6	1.539365	256.561
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	prefill	attention_input_projection	6	1.254263	209.044
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	embedding_quantized	decode	token_embedding	4	0.458585	114.646
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	embedding_quantized	decode	token_embedding	4	0.443057	110.764
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	embedding_quantized	prefill	token_embedding	1	0.347460	347.460
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	embedding_quantized	prefill	token_embedding	1	0.217973	217.973
